,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (female/male pop. %)-female,Labour force participation (female/male pop. %)-male,"Life expectancy at birth (females/males, years)-female","Life expectancy at birth (females/males, years)-male",Education: Primary gross enrol. ratio (f/m per 100 pop.)-female,Education: Primary gross enrol. ratio (f/m per 100 pop.)-male,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-female,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-male,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-female,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-male,"Population age distribution (0-14 / 60+ years, %)-0-14 years","Population age distribution (0-14 / 60+ years, %)-60+ years",International migrant stock (000/% of total pop.)-in thousands,International migrant stock (000/% of total pop.)-as % of total pop,CO2 emission estimates (million tons/tons per capita)-million tons,CO2 emission estimates (million tons/tons per capita)-tons per capita,"Pop. using improved drinking water (urban/rural, %)-Urban","Pop. using improved drinking water (urban/rural, %)-Rural","Pop. using improved sanitation facilities (urban/rural, %)-Urban","Pop. using improved sanitation facilities (urban/rural, %)-Rural",country,Region
21,114763,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1.0,152,158,410,2630,-2220,-885,2.8,44.0,3.7,5.2,0.8,67.7,4.6,0.1,4.4,7.2,85.6,6.8,88,38.7,96,17,5.09,70.0,73.4,61.4,58.5,123.7,134.2,46.8,66.7,8.4,22.4,42.7,5.0,245.4,2.3,6.3,0.6,85.2,72.1,35.6,7.3,Benin,WesternAfrica
22,53,61,1227.0,91.4,5853,0.4,94399.9,0.7,5.3,94.0,1.6,10.3,87.6,6.7,115,115,8,971,-963,817,-0.6,100.0,0.2,1.5,-99.0,-99.0,-99.0,-99.0,1.7,-99.0,58.0,98.3,72,20.0,1,136,-99.0,72.6,80.0,85.1,77.5,89.4,91.3,75.5,67.7,34.1,14.7,14.8,24.9,19.1,30.8,0.6,9.2,-99.0,-99.0,-99.0,-99.0,Bermuda,NorthernAmerica
23,38394,808,21.2,113.1,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98,98,616,1688,-1072,-579,1.6,38.6,3.7,2.2,-99.0,30.5,3.6,0.3,7.4,8.5,87.1,39.8,71,72.0,75,82,5.26,59.4,73.5,68.9,68.6,96.9,96.6,87.1,81.4,9.2,12.6,26.5,7.3,51.1,6.6,1.0,1.3,100.0,100.0,77.9,33.1,Bhutan,SouthernAsia
24,1098581,11052,10.2,100.2,32998,4.8,3076.8,12.6,31.0,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,-1405,-1854,1.6,68.5,2.3,3.0,0.8,42.9,6.3,0.5,7.3,53.1,92.2,45.1,231,50.8,962,32,2.38,64.1,82.6,70.2,65.3,95.7,98.5,85.7,87.1,-99.0,-99.0,31.6,9.5,143.0,1.3,20.4,1.9,96.7,75.6,60.8,27.5,Bolivia (Plurinational State of),SouthAmerica
25,-99,25,77.4,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,3.2,74.7,2.4,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,56,-99.0,0,208,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,13.0,52.3,0.3,13.3,-99.0,-99.0,-99.0,-99.0,"Bonaire, Sint Eustatius and Saba",Caribbean
26,51209,3507,68.8,96.4,16251,3.1,4265.0,7.3,26.5,66.2,18.0,30.4,51.7,25.4,96,97,5327,9130,-3803,-923,-1.0,39.8,0.1,1.3,157.6,7.6,9.6,1.9,-99.0,21.4,90.2,65.1,91,42.7,252,85,2.2,34.3,57.5,78.8,73.7,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,14.1,23.4,34.8,0.9,22.2,5.8,99.7,100.0,98.9,92.0,Bosnia and Herzegovina,SouthernEurope
27,582000,2292,4.0,97.7,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110,110,7321,6103,1218,1120,1.8,57.4,1.3,2.9,2.8,35.2,5.4,0.4,-99.0,9.5,169.0,27.5,28,19.3,47,44,0.46,73.6,81.6,66.1,59.8,105.8,109.4,-99.0,-99.0,27.7,19.2,31.4,6.4,160.6,7.1,7.0,3.2,99.2,92.3,78.5,43.1,Botswana,SouthernAfrica
28,8515767,209288,25.0,96.6,1772591,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,135,136,185235,137552,47683,-58882,0.9,85.7,1.2,1.8,41.1,15.8,8.3,1.9,6.0,10.7,126.6,59.1,990,59.2,10948,61,0.06,56.0,78.2,78.4,71.0,113.8,116.8,102.2,97.2,59.3,42.4,21.7,12.6,713.6,0.3,529.8,2.6,100.0,87.0,88.0,51.5,Brazil,SouthAmerica
29,151,31,208.0,97.1,908,-1.1,30144.5,1.0,11.1,87.8,-99.0,-99.0,-99.0,-99.0,103,103,0,444,-444,-99,2.0,46.2,1.8,-99.0,-99.0,-99.0,-99.0,-99.0,6.6,-99.0,145.8,37.6,67,24.1,0,85,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,17.3,57.5,0.2,6.0,-99.0,-99.0,97.5,97.5,British Virgin Islands,Caribbean
30,5765,429,81.3,106.0,12930,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,157,157,4875,2679,2197,2071,1.4,77.2,1.8,1.9,20.5,6.5,2.6,1.5,4.4,9.1,108.1,71.2,193,72.1,679,357,-99.0,50.6,75.0,78.4,75.1,108.2,108.1,96.3,95.9,38.6,23.5,23.0,8.0,102.7,24.3,9.1,21.8,-99.0,-99.0,-99.0,-99.0,Brunei Darussalam,South-easternAsia
