"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.0012664794922","94.9394607543945","95.739501953125","97.8799591064453","96.7422866821289","97.2637481689453","95.7650299072266","97.9304885864258","101.047943115234","91.4189682006836","94.4188385009766","93.4526901245117","94.4358596801758","110.206207275391","","","","","","","","",
"Africa Eastern and Southern","AFE","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","14.1727695465088","16.0354499816895","17.9574394226074","18.6350498199463","18.9249591827393","19.6818695068359","21.0485706329346","22.1188697814941","23.1318607330322","","","30.3146991729736","14.5221099853516","","16.7785491943359","17.8137893676758","15.9929304122925","","17.5258693695068","","","20.3745899200439","","21.8837108612061","32.5815505981445","29.6177291870117","","","","","","23.6030406951904","","18.2273292541504","28.3512897491455","27.5932502746582","40.8219604492188","40.8676300048828","52.9583702087402","59.3822708129883","66.8929061889648","66.0983505249023","68.3567810058594","68.5337295532227","67.0969390869141","65.8758010864258","65.296028137207","67.9124908447266","70.0527572631836","","",
"Africa Western and Central","AFW","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","","6.36066007614136","6.91344022750854","","","","","","","","","","13.0533504486084","11.6698503494263","","","","","","","","","","","","","","","12.1548795700073","12.2446603775024","13.4934997558594","15.566370010376","16.3822193145752","","","","","","24.1404304504395","25.8240699768066","31.3305492401123","32.3352317810059","","","","","61.7743911743164","","","","",
"Albania","ALB","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","","","","","","","89.0024185180664","","90.7404479980469","92.1775970458984","95.2509307861328","96.4550018310547","91.4695434570313","84.814453125","85.197883605957","89.328483581543","92.6863479614258","91.4182968139648","91.9759063720703","92.1236877441406","93.9647674560547","94.5936431884766","77.2665481567383","68.5598983764648","67.9966583251953","68.8811569213867","67.9430465698242","70.239860534668","","72.8894195556641","72.2747421264648","73.4929962158203","","","76.1367111206055","79.2453536987305","80.1789398193359","82.5089492797852","84.1693878173828","84.404541015625","87.8748321533203","90.1600189208984","93.3666229248047","98.1508102416992","100.361991882324","99.4783096313477","97.0675277709961","95.7633590698242","95.1912231445313","94.5851669311523","93.3683090209961",
"Andorra","AND","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","","15.2777795791626","13.4199104309082","14.0147495269775","14.1070203781128","24.4258899688721","23.3486404418945","","","","","","","46.9988708496094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","33.7192687988281","33.9402198791504","34.3553695678711","35.4108085632324","36.4158897399902","38.37451171875","40.1687507629395","42.3231201171875","44.552848815918","46.1718597412109","47.4856300354004","48.1893310546875","49.7542915344238","50.8115310668945","52.193359375","53.7690887451172","55.8365287780762","56.9563484191895","57.1805686950684","57.712818145752","60.2416191101074","59.8175201416016","57.7934799194336","58.1837005615234","60.2480812072754","59.6081581115723","59.3795013427734","60.5044212341309","61.5270500183105","62.6368408203125","63.717399597168","65.0438079833984","65.7566986083984","67.1986465454102","68.8610229492188","68.329719543457","67.7371826171875","66.4056930541992","66.8454666137695","68.6076583862305","69.5765228271484","71.748779296875","72.6229934692383","71.1811828613281","71.6617126464844","72.3008499145508","72.7619018554688","73.2594528198242","73.4679489135742","74.1645278930664","",
"United Arab Emirates","ARE","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","","","","22.79714012146","17.7890796661377","20.9357604980469","31.4492702484131","31.5416202545166","31.6975402832031","37.4297485351563","45.4892883300781","55.0785713195801","56.8337211608887","60.6758918762207","65.9757995605469","68.4764633178711","68.989013671875","57.7699317932129","53.974910736084","53.7496681213379","55.898509979248","60.7038803100586","63.4974403381348","67.9763488769531","74.5559768676758","79.6335983276367","","75.2959671020508","74.7473526000977","","","","","","","","","","","","","","","","","","97.3326873779297","109.280517578125","","102.825050354004","102.748336791992",
"Argentina","ARG","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","41.9743499755859","43.3274002075195","45.5700302124023","47.7441482543945","50.4284210205078","51.6732215881348","52.8998985290527","52.3783493041992","52.0187911987305","51.9632415771484","52.5721817016602","53.5876808166504","56.3747787475586","58.0390396118164","62.5598297119141","66.8860931396484","67.3387298583984","67.8054428100586","68.1191482543945","","","","","","","","75.2492904663086","72.3845901489258","79.4221725463867","89.9061813354492","93.6215286254883","94.4051132202148","93.4853668212891","92.181266784668","91.0469207763672","88.8203887939453","87.3602676391602","87.0294418334961","87.906867980957","91.4523010253906","94.9950408935547","96.6175384521484","99.1224212646484","101.233001708984","102.592811584473","103.843971252441","106.088180541992","106.511833190918","105.423896789551","106.129722595215","",
