"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0925903320313","35.6557388305664","34.8656311035156","31.949520111084","31.3924102783203","31.2804908752441","37.2926483154297","36.5874900817871","39.0536117553711","40.7326202392578","41.7399787902832","43.9353981018066","46.8407516479492","45.5851516723633","22.5723991394043","23.0369396209717","21.3730201721191","20.6979198455811","","","","",
"Africa Eastern and Southern","AFE","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","0.221499994397163","","0.2533999979496","0.340590000152588","0.282840013504028","0.311760008335114","0.354479998350143","0.583869993686676","0.683629989624023","0.602310001850128","","","","","","","0.621819972991943","","","","1.40605998039246","","","","","","","","","","","","","0.516569972038269","0.513960003852844","","","","","1.41212999820709","","1.82723999023438","","","3.48702001571655","","","","4.90507984161377","","5.82310009002686",
"Africa Western and Central","AFW","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.180849999189377","","","","","","","","0.44854998588562","0.385980010032654","","","0.564300000667572","","","","","","","","","3.32260990142822","","7.84723997116089","","7.40053987503052","8.45324993133545","","","","",
"Albania","ALB","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","9.29681015014648","9.89280033111572","","","","","","5.259850025177","","","5.23815011978149","","5.75918006896973","6.20274019241333","6.44489002227783","6.69403982162476","7.1130199432373","7.82566022872925","8.4013204574585","8.79673957824707","9.30115985870361","9.74888038635254","11.3034496307373","11.1799898147583","10.554949760437","11.5853595733643","14.1552600860596","15.1570596694946","17.3869705200195","18.2695693969727","19.0476608276367","19.7847595214844","20.3287906646729","24.1044998168945","27.3505306243896","30.4274501800537","35.4648818969727","36.4862785339355","38.6698913574219","51.5710906982422","58.2301406860352","69.7196197509766","76.3165130615234","78.3195877075195","73.5301208496094","70.0767669677734","69.8103637695313","67.57861328125","73.3405303955078","71.3686904907227",
"Andorra","AND","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","4.28997993469238","4.29866981506348","4.42674016952515","4.67296981811523","4.96809005737305","5.36607980728149","5.89192008972168","6.18410015106201","6.47121000289917","6.65398979187012","6.9624400138855","7.43381023406982","7.74149990081787","7.93313980102539","8.16905975341797","8.3014497756958","8.40213012695313","8.45147037506104","8.88589954376221","8.82616996765137","9.09825038909912","9.08343029022217","9.6502103805542","10.5673198699951","11.1179895401001","11.9560804367065","12.8406896591187","13.8036203384399","14.7218904495239","16.202299118042","16.7097606658936","17.464750289917","18.5494995117188","19.0586490631104","20.0718898773193","21.4244499206543","22.3175296783447","22.5239791870117","24.212760925293","24.9003105163574","25.5849609375","25.0837993621826","26.3981990814209","27.9120101928711","29.1625499725342","30.9370994567871","32.0704689025879","32.7783012390137","34.6584892272949","35.2522010803223","35.1679916381836",
"United Arab Emirates","ARE","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3454284667969",
"Argentina","ARG","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","11.4292297363281","13.8746299743652","15.2735996246338","17.9203491210938","20.5912799835205","25.6228199005127","25.7578506469727","22.8375701904297","21.2489891052246","21.9079608917236","21.774829864502","24.4771709442139","25.189510345459","26.5450592041016","30.3854694366455","37.0841789245605","39.429328918457","41.5219802856445","","","","","","","","","","","","60.0624694824219","65.0086212158203","69.8557968139648","74.5017166137695","77.9486770629883","76.4507522583008","75.4685287475586","80.4840316772461","79.8172073364258","81.8514633178711","84.1876373291016","87.8282775878906","92.9204406738281","94.6760101318359","96.5550765991211","100.301223754883","104.515907287598","109.167213439941","112.798439025879","114.646446228027","120.284042358398","",
"Armenia","ARM","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2669296264648","37.9773712158203","41.0853309631348","41.7918815612793","44.1698684692383","45.9511604309082","49.0538902282715","51.8772583007813","54.460750579834","56.6193504333496","58.0341300964355","57.7081985473633","49.8534317016602","48.4931297302246","50.0828590393066","50.5174217224121","57.115421295166","58.6767616271973","62.6483917236328","59.4484710693359","60.7151298522949",
