"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0257892608643","23.5405597686768","23.135139465332","21.3270092010498","22.0064697265625","21.2007503509521","25.8942203521729","25","28.6243095397949","29.7032794952393","29.1308498382568","31.1076393127441","31.2425708770752","30.5","10.238730430603","10.1471700668335","9.44699954986572","10.6673498153687","","","","",
"Africa Eastern and Southern","AFE","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","1.33720004558563","","1.65126001834869","1.83758997917175","1.74293994903564","1.89617002010345","2.14775991439819","2.20288991928101","2.89276003837585","3.23925995826721","","","","","","","3.60226988792419","","","","2.96305990219116","","","","","","","","","","","","","1.82169997692108","1.82144999504089","","","","","5.97378015518188","","5.28637981414795","","","12.6340198516846","","","","14.2081003189087","","15.050950050354",
"Africa Western and Central","AFW","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.929729998111725","","","","","","","","0.652310013771057","0.612209975719452","","","0.864769995212555","","","","","","","","","8.99837970733643","","9.85079956054688","","9.42249011993408","10.2382297515869","","","","",
"Albania","ALB","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","18.2693290710449","19.7399101257324","","","","","","6.38443994522095","","","5.14237022399902","","6.08714008331299","6.90445995330811","7.58562994003296","7.72811985015869","7.53182983398438","7.65426015853882","7.90758991241455","7.95689010620117","8.42895984649658","8.83578014373779","11.0513601303101","10.0731401443481","9.83765029907227","10.2737102508545","11.2001695632935","11.8966503143311","12.0292701721191","12.7032699584961","12.6029596328735","12.6838998794556","12.8235197067261","15.4822902679443","18.8409996032715","22.7043704986572","25.8662490844727","27.7881393432617","28.355640411377","38.047779083252","42.3371696472168","49.9062118530273","54.229679107666","54.5588493347168","51.5608787536621","47.5626487731934","45.7338409423828","43.0479698181152","46.9440383911133","45.0505790710449",
"Andorra","AND","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","7.55647993087769","7.58509016036987","7.95906019210815","8.43418979644775","8.94202995300293","9.63366985321045","10.4280996322632","11.4106903076172","12.0025701522827","11.9156303405762","12.2982797622681","12.9875898361206","13.4198598861694","13.5752096176147","13.8913698196411","13.7437295913696","14.2329196929932","14.2197904586792","13.7612104415894","13.1344604492188","12.9216604232788","12.3824396133423","13.1235103607178","14.0526304244995","14.7959804534912","15.6943197250366","16.6609802246094","17.6404895782471","18.2644901275635","19.5973491668701","19.6010208129883","20.0615501403809","20.6084594726563","20.1319007873535","21.449390411377","22.2318897247314","22.3692092895508","23.3500995635986","23.2164402008057","23.9210891723633","24.5688095092773","23.9864196777344","25.4035892486572","26.9879398345947","28.1015701293945","29.300989151001","29.4943904876709","30.4290790557861","31.3016700744629","31.7456207275391","31.6368103027344",
"United Arab Emirates","ARE","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.356128692627",
"Argentina","ARG","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","15.0216598510742","16.7089996337891","17.6738605499268","21.2965793609619","24.895809173584","28.3325901031494","28.3958892822266","25.3322906494141","21.5132598876953","22.556510925293","21.69407081604","21.7134704589844","22.4572296142578","23.1160297393799","26.9492492675781","33.8886795043945","35.3904800415039","36.8757781982422","","","","","","","","","","","","37.5407218933105","42.8778610229492","48.1551208496094","51.0169715881348","52.4665184020996","54.6074905395508","52.5902900695801","53.6077003479004","53.1760902404785","54.4481506347656","56.4313011169434","58.8820190429688","60.0051116943359","60.6036109924316","60.3412818908691","62.1947708129883","64.053337097168","65.8795623779297","67.7747268676758","69.2272033691406","71.3483810424805","",
"Armenia","ARM","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4967403411865","28.7822208404541","30.8890399932861","32.3849296569824","31.2762107849121","32.8492088317871","36.9244804382324","39.7132606506348","42.1989898681641","45.7202606201172","47.5975799560547","48.6668891906738","42.1851997375488","42.8057594299316","43.9273681640625","42.3912582397461","45.0160217285156","46.0683097839355","47.1190986633301","44.3823699951172","42.1771697998047",
"American Samoa","ASM","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","17.4399299621582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.09090995788574","9.00874996185303","9.74637031555176","15.2688798904419","","","","","","","","",
"Australia","AUS","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","20.908260345459","22.1512908935547","23.4618301391602","24.524730682373","26.3346691131592","27.2795791625977","27.2840595245361","27.4765491485596","27.3672294616699","27.1872406005859","27.0571002960205","27.5950202941895","27.414909362793","27.8523902893066","28.3484897613525","28.6864204406738","29.7176094055176","29.1015605926514","30.2969493865967","30.7647590637207","32.8713989257813","35.1720886230469","36.3450088500977","65.9264221191406","66.6425094604492","69.1657562255859","73.4208297729492","78.2488174438477","","","","","","","","","","","","","","","","","","97.5807037353516","100.036491394043","93.8384704589844","91.8328628540039","98.7155609130859","",
"Austria","AUT","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","16.9471702575684","18.336009979248","19.6735496520996","20.5391101837158","20.8541507720947","22.7609996795654","23.3591709136963","23.3755493164063","23.8576393127441","24.6144790649414","25.4245796203613","25.2514896392822","25.3877296447754","26.246000289917","27.6684093475342","28.6513690948486","29.8022499084473","31.2784194946289","32.6082992553711","34.5427284240723","37.0154609680176","39.8055686950684","41.8237113952637","44.0729103088379","46.2794914245605","48.3102493286133","50.0014190673828","52.3244209289551","","","","","","","","","","","","","","","72.6607971191406","72.346809387207","73.7689895629883","76.4452896118164","78.0511016845703","79.208251953125","78.1831512451172","",
"Azerbaijan","AZE","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","27.2680797576904","","","","","25.2698497772217","","","","","29.7108592987061","30.5792407989502","25.9975109100342","21.7023296356201","19.5771007537842","18.5738906860352","18.0349006652832","","","","","","","","","19.3359909057617","19.1756591796875","19.2274303436279","19.1840991973877","19.3622493743896","19.490629196167","19.9729194641113","20.3295402526855","21.6763706207275","23.6426391601563","23.8923091888428","25.2702102661133","25.9097309112549","29.3166809082031","32.3690986633301",
